X,Y,Z,Radii
10.988838,-1.042403,-14.198979,0.77
11.203325,0.59627,-15.487327,0.37
10.474072,0.968047,-13.915858,0.37
9.528902,0.122974,-15.152728,0.37
11.363474,-2.069076,-13.781447,0.73
10.522688,0.231645,-14.715177,0.77
10.991698,-1.046693,-14.19469,0.77
11.209044,0.58769,-15.478748,0.37
10.469782,0.958038,-13.914428,0.37
9.528902,0.117251,-15.142719,0.37
11.364904,-2.071936,-13.770008,0.73
-7.569929,12.724746,12.581755,0.77
-6.401694,13.229503,11.865371,0.77
-8.366389,13.464008,12.556017,0.37
-7.308257,12.520269,13.617008,0.37
-7.921687,11.806745,12.115605,0.37
-5.466536,13.634166,11.291978,0.73
-7.56278,12.721886,12.578895,0.77
-6.397405,13.230933,11.862511,0.77
-8.352088,13.456859,12.551727,0.37
-7.298248,12.515979,13.617008,0.37
-7.918827,11.805316,12.115605,0.37
-5.460817,13.639887,11.286259,0.73
-8.462191,15.362925,9.062753,0.77
-8.213387,15.205635,7.632845,0.77
-9.517463,15.201345,9.272949,0.37
-8.186219,16.365289,9.377333,0.37
-7.874501,14.639392,9.623277,0.37
-8.014631,15.079803,6.48749,0.73
-8.457901,15.360065,9.054173,0.77
-8.209098,15.204205,7.625696,0.77
-9.508884,15.201345,9.26294,0.37
-8.186219,16.35671,9.364463,0.37
